customer_id,terminal_id,transaction_date,amount
C043149200,3000315508,2/16/2025,457759
C043149202,3000315546,3/29/2025,1361672
C043149201,3000315584,1/25/2025,2087655
C043149203,3000315711,3/21/2025,4554784
C043149204,3000315924,1/15/2025,1397086
C043149185,3000315979,1/12/2025,94065
C043149206,3000316024,1/26/2025,3118804
C043149207,3000316086,1/8/2025,4283003
C043149208,3000316103,3/26/2025,877141
C043149209,3000316134,3/5/2025,2855775
C043149205,3000316220,2/22/2025,1424091
C043149186,3000316354,3/26/2025,522798
C043149187,3000316433,3/13/2025,1576728
C043149188,3000316457,3/26/2025,1459625
C043149190,3000316536,2/23/2025,4825401
C043149210,3000316598,1/28/2025,2395196
C043149189,3000316756,1/25/2025,4936087
C043149191,3000316835,3/8/2025,838155
C043149212,3000316907,1/16/2025,1491708
C043149211,3000316990,1/25/2025,2699862
C043149213,3000317021,3/30/2025,3578369
C043149214,3000317186,2/20/2025,4521748
C043149215,3000317265,1/25/2025,1174364
C043149217,3000317296,1/5/2025,4968858
C043149216,3000317571,3/8/2025,723341
C043149218,3000317629,2/1/2025,1488550
C043149219,3000317650,1/27/2025,2677139
C043149193,3000317698,3/26/2025,4857823
C043149196,3000317887,2/8/2025,1306883
C043149194,3000318059,3/4/2025,3058142
C043149198,3000318183,3/11/2025,3218527
C043149222,3000318224,2/5/2025,2700468
C043149223,3000318310,2/19/2025,870940
C043149240,3000318664,1/31/2025,2670270
C043149241,3000318743,2/13/2025,4382021
C043149199,3000318767,3/21/2025,3445787
C043149224,3000319025,3/17/2025,4496062
C043149242,3000319087,3/26/2025,894627
C043149225,3000319104,2/27/2025,3799388
C043149243,3000319290,2/26/2025,4695300
C043149226,3000319324,3/7/2025,4370317
C043149245,3000319513,3/16/2025,1866575
C043149228,3000319544,3/19/2025,1104445
C043149244,3000319568,2/12/2025,4525175
C043149227,3000319661,3/14/2025,1546509
C043149246,3000319915,2/20/2025,947302
C043149229,3000320115,1/5/2025,1675863
C043149247,3000320201,3/16/2025,429493
C043149248,3000320225,2/19/2025,3720273
C043149230,3000320270,1/3/2025,3082572
C043149232,3000320342,2/26/2025,1312883
C043149231,3000320469,1/23/2025,3308225
C043149233,3000320500,2/26/2025,2896420
C043149234,3000320744,2/20/2025,4050414
C043149249,3000320799,2/15/2025,1831387
C043149251,3000321112,1/17/2025,3642463
C043149250,3000321181,3/30/2025,1421268
C043149252,3000321428,1/11/2025,1918254
C043149253,3000321459,1/7/2025,419499
C043149235,3000321480,1/5/2025,372977
C043149254,3000321844,1/11/2025,2370414
C043149255,3000321923,3/13/2025,3115336
C043149236,3000322085,1/14/2025,2802337
C043149237,3000322607,1/17/2025,619071
C043149256,3000323927,3/30/2025,796742
C043149257,3000323941,2/23/2025,4218837
C043149238,3000324058,3/3/2025,4045722
C043149258,3000324106,3/20/2025,4475672
C043149259,3000324144,1/19/2025,4558827
C043149239,3000324261,2/27/2025,3161012
C043149280,3000324333,2/12/2025,743245
C043149260,3000324405,3/12/2025,632019
C043149261,3000324429,1/30/2025,421634
C043149262,3000324728,2/22/2025,3170513
C043149284,3000325017,3/13/2025,4050475
C043149285,3000325062,1/18/2025,2714965
C043149286,3000325134,3/15/2025,2856909
C043149283,3000325213,2/4/2025,4076299
C043149287,3000325457,3/25/2025,141005
C043149263,3000325505,3/11/2025,2724377
C043149264,3000325529,2/1/2025,4883871
C043149288,3000325622,1/20/2025,529130
C043149265,3000325763,3/12/2025,2011527
C043149266,3000325811,2/12/2025,4396195
C043149267,3000325938,2/19/2025,3718130
C043149290,3000326045,3/14/2025,4170485
C043149268,3000326069,3/22/2025,4158518
C043149291,3000326083,2/6/2025,988738
C043149289,3000326162,1/14/2025,3421157
C043149292,3000326344,1/16/2025,794323
C043149269,3000326430,1/27/2025,2646326
C043149295,3000326485,3/22/2025,2183133
C043149293,3000326557,1/26/2025,2266475
C043149294,3000326571,2/2/2025,1834827
C043149270,3000326801,3/25/2025,3587540
C043149297,3000327059,2/19/2025,350272
C043149271,3000327114,2/16/2025,3143928
C043149298,3000327499,3/23/2025,166278
C043149299,3000327688,1/8/2025,3944561
C043149300,3000327705,3/29/2025,3478772
C043149301,3000327949,1/18/2025,3953413
C043149302,3000328135,3/29/2025,4619841
C043149303,3000328283,1/9/2025,3183532
C043149272,3000328348,2/17/2025,3796468
C043149304,3000328537,1/17/2025,3226596
C043149305,3000328678,1/18/2025,2628255
C043149306,3000328733,2/28/2025,2519035
C043149273,3000328757,1/19/2025,4482195
C043149307,3000328908,1/22/2025,1529959
C043149274,3000328939,1/6/2025,3413565
C043149275,3000329194,1/15/2025,4732155
C043149276,3000329273,1/26/2025,1539370
C043149308,3000329314,1/18/2025,106391
C043149277,3000329345,2/8/2025,810615
C043149278,3000329606,3/13/2025,4062084
C043149309,3000329761,3/29/2025,4439624
C043149279,3000330112,3/19/2025,2542618
C043149310,3000330181,2/10/2025,1763017
C043149311,3000330370,1/4/2025,1245577
C043149320,3000330394,1/3/2025,4967863
C043149312,3000330624,2/2/2025,1218354
C043149313,3000330686,1/10/2025,938168
C043149321,3000330789,3/4/2025,1024010
C043149314,3000332130,3/9/2025,4301015
C043149315,3000332271,1/18/2025,1395720
C043149322,3000332518,2/21/2025,4687065
C043149316,3000332549,3/21/2025,1128307
C043149319,3000332659,1/8/2025,991196
C043149323,3000332673,3/19/2025,3135090
C043149318,3000332910,1/13/2025,916966
C043149341,3000333058,3/28/2025,1121308
C043149324,3000333106,3/29/2025,1650560
C043149340,3000333168,2/28/2025,4504964
C043149342,3000333285,3/25/2025,3359494
C043149343,3000333405,1/4/2025,311990
C043149325,3000333474,1/30/2025,4963269
C043149326,3000333546,3/20/2025,2811899
C043149344,3000333584,2/20/2025,2267501
C043149327,3000333711,3/16/2025,2873066
C043149328,3000333838,2/3/2025,3096738
C043149345,3000333890,1/4/2025,3378843
C043149346,3000334062,2/28/2025,4270862
C043149329,3000334127,3/24/2025,1293756
C043149347,3000334323,2/7/2025,2880729
C043149348,3000334378,2/15/2025,297621
C043149330,3000334419,3/14/2025,3199220
C043149349,3000334471,3/12/2025,1474261
C043149350,3000334512,3/2/2025,4584356
C043149332,3000334536,2/26/2025,4225212
C043149331,3000334718,2/14/2025,189333
C043149333,3000334787,2/8/2025,4798353
C043149335,3000334835,1/30/2025,451880
C043149354,3000334859,2/21/2025,460200
C043149355,3000334907,3/28/2025,3464572
C043149336,3000334921,1/22/2025,29778
C043149351,3000334983,1/25/2025,1223920
C043149337,3000335179,1/16/2025,1022869
C043149338,3000335289,1/22/2025,3322513
C043149356,3000335337,2/12/2025,3458629
C043149357,3000335588,3/12/2025,2106986
C043149358,3000335605,3/28/2025,4406490
C043149360,3000335650,3/25/2025,2920117
C043149359,3000335698,1/6/2025,2438194
C043149380,3000335739,2/22/2025,3990546
C043149361,3000335849,3/15/2025,3555469
C043149362,3000336028,1/2/2025,2411114
C043149381,3000336255,1/17/2025,4351542
C043149382,3000336310,1/7/2025,4210331
C043149383,3000336482,3/29/2025,2070836
C043149384,3000336695,2/9/2025,4229742
C043149385,3000336860,1/10/2025,4999696
C043149365,3000336884,1/30/2025,4322446
C043149364,3000337094,2/23/2025,3958735
C043149367,3000337269,2/25/2025,358119
C043149368,3000337317,3/21/2025,1016006
C043149366,3000337355,3/14/2025,740164
C043149369,3000337520,2/2/2025,2391660
C043149386,3000337582,1/27/2025,4581217
C043149370,3000337616,1/13/2025,4661715
C043149387,3000337685,3/29/2025,4702813
C043149388,3000337898,1/29/2025,2232993
C043149389,3000338015,1/12/2025,4633852
C043149390,3000338053,2/1/2025,3137728
C043149391,3000338400,2/16/2025,335511
C043149372,3000338486,1/2/2025,121233
C043149392,3000338716,1/4/2025,2374737
C043149393,3000339067,1/3/2025,1774864
C043149394,3000339108,1/14/2025,1250507
C043149396,3000339218,1/10/2025,4367806
C043149374,3000339263,3/18/2025,1546411
C043149397,3000339593,3/3/2025,4454573
C043149376,3000340085,2/27/2025,2124743
C043149377,3000340229,3/8/2025,4148691
C043149378,3000340243,1/12/2025,64370
C043149379,3000340322,1/24/2025,1629075
C043149400,3000341343,3/4/2025,4289691
C043149398,3000341642,1/2/2025,1499195
C043149401,3000341714,2/14/2025,680290
C043149399,3000341934,2/19/2025,1338933
C043149402,3000341972,3/6/2025,754402
C043149403,3000342034,2/13/2025,1858445
C043149404,3000342089,2/18/2025,4899901
C043149420,3000342106,1/1/2025,1167170
C043149405,3000342326,2/13/2025,4687964
C043149406,3000342405,2/15/2025,1519727
C043149422,3000342481,1/12/2025,2333017
C043149407,3000342522,2/12/2025,978654
C043149408,3000342687,3/14/2025,2832529
C043149423,3000342821,1/16/2025,1485182
C043149424,3000342876,2/23/2025,2412931
C043149425,3000343103,2/26/2025,4729430
C043149427,3000343213,1/16/2025,3206293
C043149410,3000343309,2/11/2025,3518927
C043149426,3000343361,2/5/2025,2663009
C043149409,3000343543,1/29/2025,3364975
C043149412,3000343622,3/22/2025,1317053
C043149411,3000343763,2/21/2025,2178033
C043149428,3000343866,3/13/2025,2363796
C043149415,3000343897,3/8/2025,2259001
C043149429,3000343945,2/25/2025,3071855
C043149413,3000343976,2/12/2025,3047186
C043149414,3000343990,1/12/2025,4476074
